image_path,fruit,defect_class,passed_filters,filter_details
final_dataset\mango\discoloration\img_pair_001_00.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_001_01.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_001_02.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_002_00.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_002_01.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_002_02.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_003_00.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_003_01.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_003_02.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_004_00.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_004_01.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_004_02.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_000_00.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_000_01.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_000_02.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_001_00.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_001_01.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_001_02.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_002_00.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_002_01.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_002_02.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_003_00.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_003_01.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_003_02.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_004_00.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_004_01.png,mango,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\fungal_infection\img_pair_004_02.png,mango,fungal_infection,True,Passed: All constraints satisfied
