ImageID,ExpertID,Factor,Score
Img_004,Expert_2,Location,4
Img_004,Expert_2,Colour_Texture,4
Img_004,Expert_2,Shape,3
Img_004,Expert_2,Overall,3
Img_004,Expert_3,Location,3
Img_004,Expert_3,Colour_Texture,4
Img_004,Expert_3,Shape,3
Img_004,Expert_3,Overall,4
Img_004,Expert_4,Location,5
Img_004,Expert_4,Colour_Texture,5
Img_004,Expert_4,Shape,3
Img_004,Expert_4,Overall,4
Img_004,Expert_5,Location,5
Img_004,Expert_5,Colour_Texture,5
Img_004,Expert_5,Shape,4
Img_004,Expert_5,Overall,5
Img_005,Expert_1,Location,5
Img_005,Expert_1,Colour_Texture,5
Img_005,Expert_1,Shape,5
Img_005,Expert_1,Overall,4
Img_005,Expert_2,Location,3
Img_005,Expert_2,Colour_Texture,4
Img_005,Expert_2,Shape,5
Img_005,Expert_2,Overall,5
Img_005,Expert_3,Location,4
Img_005,Expert_3,Colour_Texture,3
Img_005,Expert_3,Shape,3
Img_005,Expert_3,Overall,4
Img_005,Expert_4,Location,3
Img_005,Expert_4,Colour_Texture,5
Img_005,Expert_4,Shape,4
Img_005,Expert_4,Overall,4
Img_005,Expert_5,Location,5
Img_005,Expert_5,Colour_Texture,5
Img_005,Expert_5,Shape,5
Img_005,Expert_5,Overall,3
Img_006,Expert_1,Location,3
Img_006,Expert_1,Colour_Texture,5
Img_006,Expert_1,Shape,5
Img_006,Expert_1,Overall,5
Img_006,Expert_2,Location,5
Img_006,Expert_2,Colour_Texture,3
Img_006,Expert_2,Shape,3
Img_006,Expert_2,Overall,3
Img_006,Expert_3,Location,4
Img_006,Expert_3,Colour_Texture,3
Img_006,Expert_3,Shape,3
Img_006,Expert_3,Overall,5
Img_006,Expert_4,Location,5
Img_006,Expert_4,Colour_Texture,5
Img_006,Expert_4,Shape,3
Img_006,Expert_4,Overall,3
Img_006,Expert_5,Location,4
Img_006,Expert_5,Colour_Texture,5
Img_006,Expert_5,Shape,5
Img_006,Expert_5,Overall,3
Img_007,Expert_1,Location,4
Img_007,Expert_1,Colour_Texture,5
Img_007,Expert_1,Shape,3
Img_007,Expert_1,Overall,3
Img_007,Expert_2,Location,5
Img_007,Expert_2,Colour_Texture,5
Img_007,Expert_2,Shape,3
Img_007,Expert_2,Overall,3
Img_007,Expert_3,Location,4
Img_007,Expert_3,Colour_Texture,3
Img_007,Expert_3,Shape,4
Img_007,Expert_3,Overall,5
Img_007,Expert_4,Location,3
Img_007,Expert_4,Colour_Texture,4
Img_007,Expert_4,Shape,3
Img_007,Expert_4,Overall,5
Img_007,Expert_5,Location,3
Img_007,Expert_5,Colour_Texture,3
Img_007,Expert_5,Shape,4
Img_007,Expert_5,Overall,5
Img_008,Expert_1,Location,3
Img_008,Expert_1,Colour_Texture,4
Img_008,Expert_1,Shape,5
Img_008,Expert_1,Overall,3
Img_008,Expert_2,Location,4
Img_008,Expert_2,Colour_Texture,4
Img_008,Expert_2,Shape,3
Img_008,Expert_2,Overall,4
Img_008,Expert_3,Location,5
Img_008,Expert_3,Colour_Texture,3
Img_008,Expert_3,Shape,4
Img_008,Expert_3,Overall,4
Img_008,Expert_4,Location,4
Img_008,Expert_4,Colour_Texture,4
Img_008,Expert_4,Shape,3
Img_008,Expert_4,Overall,4
Img_008,Expert_5,Location,3
Img_008,Expert_5,Colour_Texture,5
Img_008,Expert_5,Shape,4
Img_008,Expert_5,Overall,5
Img_009,Expert_1,Location,5
Img_009,Expert_1,Colour_Texture,3
Img_009,Expert_1,Shape,3
Img_009,Expert_1,Overall,4
Img_009,Expert_2,Location,4
Img_009,Expert_2,Colour_Texture,5
Img_009,Expert_2,Shape,5
Img_009,Expert_2,Overall,3
Img_009,Expert_3,Location,5
Img_009,Expert_3,Colour_Texture,4
Img_009,Expert_3,Shape,5
Img_009,Expert_3,Overall,4
Img_009,Expert_4,Location,4
Img_009,Expert_4,Colour_Texture,4
Img_009,Expert_4,Shape,3
Img_009,Expert_4,Overall,5
Img_009,Expert_5,Location,3
Img_009,Expert_5,Colour_Texture,3
Img_009,Expert_5,Shape,3
Img_009,Expert_5,Overall,4
Img_010,Expert_1,Location,3
Img_010,Expert_1,Colour_Texture,4
Img_010,Expert_1,Shape,4
Img_010,Expert_1,Overall,5
Img_010,Expert_2,Location,4
Img_010,Expert_2,Colour_Texture,5
Img_010,Expert_2,Shape,5
Img_010,Expert_2,Overall,5
Img_010,Expert_3,Location,4
Img_010,Expert_3,Colour_Texture,4
Img_010,Expert_3,Shape,3
Img_010,Expert_3,Overall,5
Img_010,Expert_4,Location,5
Img_010,Expert_4,Colour_Texture,4
Img_010,Expert_4,Shape,4
Img_010,Expert_4,Overall,3
Img_010,Expert_5,Location,4
Img_010,Expert_5,Colour_Texture,4
Img_010,Expert_5,Shape,5
Img_010,Expert_5,Overall,4
Img_011,Expert_1,Location,4
Img_011,Expert_1,Colour_Texture,3
Img_011,Expert_1,Shape,3
Img_011,Expert_1,Overall,5
Img_011,Expert_2,Location,3
Img_011,Expert_2,Colour_Texture,4
Img_011,Expert_2,Shape,3
Img_011,Expert_2,Overall,5
Img_011,Expert_3,Location,5
Img_011,Expert_3,Colour_Texture,5
Img_011,Expert_3,Shape,5
Img_011,Expert_3,Overall,4
Img_011,Expert_4,Location,5
Img_011,Expert_4,Colour_Texture,5
Img_011,Expert_4,Shape,3
Img_011,Expert_4,Overall,4
Img_011,Expert_5,Location,5
Img_011,Expert_5,Colour_Texture,5
Img_011,Expert_5,Shape,4
Img_011,Expert_5,Overall,5
Img_012,Expert_1,Location,5
Img_012,Expert_1,Colour_Texture,3
Img_012,Expert_1,Shape,5
Img_012,Expert_1,Overall,5
Img_012,Expert_2,Location,5
Img_012,Expert_2,Colour_Texture,4
Img_012,Expert_2,Shape,4
Img_012,Expert_2,Overall,5
Img_012,Expert_3,Location,3
Img_012,Expert_3,Colour_Texture,5
Img_012,Expert_3,Shape,3
Img_012,Expert_3,Overall,4
Img_012,Expert_4,Location,3
Img_012,Expert_4,Colour_Texture,3
Img_012,Expert_4,Shape,4
Img_012,Expert_4,Overall,5
Img_012,Expert_5,Location,3
Img_012,Expert_5,Colour_Texture,5
Img_012,Expert_5,Shape,5
Img_012,Expert_5,Overall,5
Img_013,Expert_1,Location,4
Img_013,Expert_1,Colour_Texture,3
Img_013,Expert_1,Shape,4
Img_013,Expert_1,Overall,5
Img_013,Expert_2,Location,3
Img_013,Expert_2,Colour_Texture,4
Img_013,Expert_2,Shape,5
Img_013,Expert_2,Overall,5
Img_013,Expert_3,Location,3
Img_013,Expert_3,Colour_Texture,4
Img_013,Expert_3,Shape,5
Img_013,Expert_3,Overall,4
Img_013,Expert_4,Location,4
Img_013,Expert_4,Colour_Texture,3
Img_013,Expert_4,Shape,5
Img_013,Expert_4,Overall,3
Img_013,Expert_5,Location,3
Img_013,Expert_5,Colour_Texture,3
Img_013,Expert_5,Shape,3
Img_013,Expert_5,Overall,4
Img_014,Expert_1,Location,3
Img_014,Expert_1,Colour_Texture,3
Img_014,Expert_1,Shape,4
Img_014,Expert_1,Overall,4
Img_014,Expert_2,Location,3
Img_014,Expert_2,Colour_Texture,4
Img_014,Expert_2,Shape,4
Img_014,Expert_2,Overall,5
Img_014,Expert_3,Location,3
Img_014,Expert_3,Colour_Texture,5
Img_014,Expert_3,Shape,5
Img_014,Expert_3,Overall,5
Img_014,Expert_4,Location,5
Img_014,Expert_4,Colour_Texture,3
Img_014,Expert_4,Shape,4
Img_014,Expert_4,Overall,3
Img_014,Expert_5,Location,4
Img_014,Expert_5,Colour_Texture,3
Img_014,Expert_5,Shape,5
Img_014,Expert_5,Overall,4
Img_015,Expert_1,Location,5
Img_015,Expert_1,Colour_Texture,3
Img_015,Expert_1,Shape,4
Img_015,Expert_1,Overall,4
Img_015,Expert_2,Location,3
Img_015,Expert_2,Colour_Texture,5
Img_015,Expert_2,Shape,5
Img_015,Expert_2,Overall,3
Img_015,Expert_3,Location,3
Img_015,Expert_3,Colour_Texture,5
Img_015,Expert_3,Shape,3
Img_015,Expert_3,Overall,4
Img_015,Expert_4,Location,5
Img_015,Expert_4,Colour_Texture,5
Img_015,Expert_4,Shape,3
Img_015,Expert_4,Overall,5
Img_015,Expert_5,Location,5
Img_015,Expert_5,Colour_Texture,3
Img_015,Expert_5,Shape,4
Img_015,Expert_5,Overall,5
Img_016,Expert_1,Location,5
Img_016,Expert_1,Colour_Texture,4
Img_016,Expert_1,Shape,3
Img_016,Expert_1,Overall,3
Img_016,Expert_2,Location,5
Img_016,Expert_2,Colour_Texture,5
Img_016,Expert_2,Shape,4
Img_016,Expert_2,Overall,3
Img_016,Expert_3,Location,4
Img_016,Expert_3,Colour_Texture,4
Img_016,Expert_3,Shape,3
Img_016,Expert_3,Overall,4
Img_016,Expert_4,Location,3
Img_016,Expert_4,Colour_Texture,4
Img_016,Expert_4,Shape,4
Img_016,Expert_4,Overall,4
Img_016,Expert_5,Location,5
Img_016,Expert_5,Colour_Texture,3
Img_016,Expert_5,Shape,4
Img_016,Expert_5,Overall,5
Img_017,Expert_1,Location,5
Img_017,Expert_1,Colour_Texture,4
Img_017,Expert_1,Shape,3
Img_017,Expert_1,Overall,4
Img_017,Expert_2,Location,3
Img_017,Expert_2,Colour_Texture,3
Img_017,Expert_2,Shape,4
Img_017,Expert_2,Overall,5
Img_017,Expert_3,Location,5
Img_017,Expert_3,Colour_Texture,3
Img_017,Expert_3,Shape,3
Img_017,Expert_3,Overall,3
Img_017,Expert_4,Location,4
Img_017,Expert_4,Colour_Texture,3
Img_017,Expert_4,Shape,5
Img_017,Expert_4,Overall,4
Img_017,Expert_5,Location,4
Img_017,Expert_5,Colour_Texture,5
Img_017,Expert_5,Shape,5
Img_017,Expert_5,Overall,4
Img_018,Expert_1,Location,3
Img_018,Expert_1,Colour_Texture,4
Img_018,Expert_1,Shape,5
Img_018,Expert_1,Overall,5
Img_018,Expert_2,Location,5
Img_018,Expert_2,Colour_Texture,3
Img_018,Expert_2,Shape,4
Img_018,Expert_2,Overall,5
Img_018,Expert_3,Location,5
Img_018,Expert_3,Colour_Texture,5
Img_018,Expert_3,Shape,3
Img_018,Expert_3,Overall,3
Img_018,Expert_4,Location,4
Img_018,Expert_4,Colour_Texture,3
Img_018,Expert_4,Shape,5
Img_018,Expert_4,Overall,5
Img_018,Expert_5,Location,3
Img_018,Expert_5,Colour_Texture,4
Img_018,Expert_5,Shape,5
Img_018,Expert_5,Overall,5
Img_019,Expert_1,Location,5
Img_019,Expert_1,Colour_Texture,3
Img_019,Expert_1,Shape,4
Img_019,Expert_1,Overall,4
Img_019,Expert_2,Location,5
Img_019,Expert_2,Colour_Texture,3
Img_019,Expert_2,Shape,4
Img_019,Expert_2,Overall,3
Img_019,Expert_3,Location,4
Img_019,Expert_3,Colour_Texture,5
Img_019,Expert_3,Shape,3
Img_019,Expert_3,Overall,5
Img_019,Expert_4,Location,5
Img_019,Expert_4,Colour_Texture,5
Img_019,Expert_4,Shape,3
Img_019,Expert_4,Overall,5
Img_019,Expert_5,Location,5
Img_019,Expert_5,Colour_Texture,5
Img_019,Expert_5,Shape,4
Img_019,Expert_5,Overall,3
Img_020,Expert_1,Location,4
Img_020,Expert_1,Colour_Texture,3
Img_020,Expert_1,Shape,3
Img_020,Expert_1,Overall,5
Img_020,Expert_2,Location,4
Img_020,Expert_2,Colour_Texture,3
Img_020,Expert_2,Shape,3
Img_020,Expert_2,Overall,5
Img_020,Expert_3,Location,5
Img_020,Expert_3,Colour_Texture,5
Img_020,Expert_3,Shape,4
Img_020,Expert_3,Overall,5
Img_020,Expert_4,Location,3
Img_020,Expert_4,Colour_Texture,4
Img_020,Expert_4,Shape,3
Img_020,Expert_4,Overall,5
Img_020,Expert_5,Location,3
Img_020,Expert_5,Colour_Texture,5
Img_020,Expert_5,Shape,3
Img_020,Expert_5,Overall,5
Img_021,Expert_1,Location,5
Img_021,Expert_1,Colour_Texture,3
Img_021,Expert_1,Shape,4
Img_021,Expert_1,Overall,4
Img_021,Expert_2,Location,4
Img_021,Expert_2,Colour_Texture,4
Img_021,Expert_2,Shape,3
Img_021,Expert_2,Overall,4
Img_021,Expert_3,Location,5
Img_021,Expert_3,Colour_Texture,4
Img_021,Expert_3,Shape,5
Img_021,Expert_3,Overall,3
Img_021,Expert_4,Location,5
Img_021,Expert_4,Colour_Texture,4
Img_021,Expert_4,Shape,5
Img_021,Expert_4,Overall,3
Img_021,Expert_5,Location,3
Img_021,Expert_5,Colour_Texture,5
Img_021,Expert_5,Shape,4
Img_021,Expert_5,Overall,4
Img_022,Expert_1,Location,4
Img_022,Expert_1,Colour_Texture,3
Img_022,Expert_1,Shape,3
Img_022,Expert_1,Overall,5
Img_022,Expert_2,Location,5
Img_022,Expert_2,Colour_Texture,4
Img_022,Expert_2,Shape,3
Img_022,Expert_2,Overall,5
Img_022,Expert_3,Location,4
Img_022,Expert_3,Colour_Texture,3
Img_022,Expert_3,Shape,4
Img_022,Expert_3,Overall,3
Img_022,Expert_4,Location,4
Img_022,Expert_4,Colour_Texture,3
Img_022,Expert_4,Shape,5
Img_022,Expert_4,Overall,5
Img_022,Expert_5,Location,3
Img_022,Expert_5,Colour_Texture,3
Img_022,Expert_5,Shape,4
Img_022,Expert_5,Overall,5
Img_023,Expert_1,Location,4
Img_023,Expert_1,Colour_Texture,5
Img_023,Expert_1,Shape,5
Img_023,Expert_1,Overall,3
Img_023,Expert_2,Location,4
Img_023,Expert_2,Colour_Texture,5
Img_023,Expert_2,Shape,5
Img_023,Expert_2,Overall,4
Img_023,Expert_3,Location,5
Img_023,Expert_3,Colour_Texture,5
Img_023,Expert_3,Shape,4
Img_023,Expert_3,Overall,4
Img_023,Expert_4,Location,3
Img_023,Expert_4,Colour_Texture,5
Img_023,Expert_4,Shape,4
Img_023,Expert_4,Overall,5
Img_023,Expert_5,Location,5
Img_023,Expert_5,Colour_Texture,3
Img_023,Expert_5,Shape,3
Img_023,Expert_5,Overall,4
Img_024,Expert_1,Location,4
Img_024,Expert_1,Colour_Texture,5
Img_024,Expert_1,Shape,4
Img_024,Expert_1,Overall,5
Img_024,Expert_2,Location,4
Img_024,Expert_2,Colour_Texture,3
Img_024,Expert_2,Shape,4
Img_024,Expert_2,Overall,4
Img_024,Expert_3,Location,3
Img_024,Expert_3,Colour_Texture,5
Img_024,Expert_3,Shape,3
Img_024,Expert_3,Overall,4
Img_024,Expert_4,Location,3
Img_024,Expert_4,Colour_Texture,4
Img_024,Expert_4,Shape,4
Img_024,Expert_4,Overall,5
Img_024,Expert_5,Location,5
Img_024,Expert_5,Colour_Texture,4
Img_024,Expert_5,Shape,5
Img_024,Expert_5,Overall,3
Img_025,Expert_1,Location,3
Img_025,Expert_1,Colour_Texture,3
Img_025,Expert_1,Shape,3
Img_025,Expert_1,Overall,3
Img_025,Expert_2,Location,5
Img_025,Expert_2,Colour_Texture,3
Img_025,Expert_2,Shape,3
Img_025,Expert_2,Overall,4
Img_025,Expert_3,Location,3
Img_025,Expert_3,Colour_Texture,4
Img_025,Expert_3,Shape,4
Img_025,Expert_3,Overall,3
Img_025,Expert_4,Location,4
Img_025,Expert_4,Colour_Texture,3
Img_025,Expert_4,Shape,5
Img_025,Expert_4,Overall,4
Img_025,Expert_5,Location,3
Img_025,Expert_5,Colour_Texture,3
Img_025,Expert_5,Shape,4
Img_025,Expert_5,Overall,5
Img_026,Expert_1,Location,4
Img_026,Expert_1,Colour_Texture,4
Img_026,Expert_1,Shape,3
Img_026,Expert_1,Overall,5
Img_026,Expert_2,Location,5
Img_026,Expert_2,Colour_Texture,3
Img_026,Expert_2,Shape,4
Img_026,Expert_2,Overall,5
Img_026,Expert_3,Location,3
Img_026,Expert_3,Colour_Texture,4
Img_026,Expert_3,Shape,4
Img_026,Expert_3,Overall,4
Img_026,Expert_4,Location,4
Img_026,Expert_4,Colour_Texture,5
Img_026,Expert_4,Shape,3
Img_026,Expert_4,Overall,4
Img_026,Expert_5,Location,3
Img_026,Expert_5,Colour_Texture,5
Img_026,Expert_5,Shape,5
Img_026,Expert_5,Overall,5
Img_027,Expert_1,Location,3
Img_027,Expert_1,Colour_Texture,3
Img_027,Expert_1,Shape,3
Img_027,Expert_1,Overall,4
Img_027,Expert_2,Location,5
Img_027,Expert_2,Colour_Texture,4
Img_027,Expert_2,Shape,3
Img_027,Expert_2,Overall,5
Img_027,Expert_3,Location,4
Img_027,Expert_3,Colour_Texture,4
Img_027,Expert_3,Shape,3
Img_027,Expert_3,Overall,3
Img_027,Expert_4,Location,4
Img_027,Expert_4,Colour_Texture,4
Img_027,Expert_4,Shape,3
Img_027,Expert_4,Overall,3
Img_027,Expert_5,Location,3
Img_027,Expert_5,Colour_Texture,5
Img_027,Expert_5,Shape,4
Img_027,Expert_5,Overall,4
Img_028,Expert_1,Location,3
Img_028,Expert_1,Colour_Texture,5
Img_028,Expert_1,Shape,4
Img_028,Expert_1,Overall,4
Img_028,Expert_2,Location,3
Img_028,Expert_2,Colour_Texture,3
Img_028,Expert_2,Shape,4
Img_028,Expert_2,Overall,3
Img_028,Expert_3,Location,4
Img_028,Expert_3,Colour_Texture,3
Img_028,Expert_3,Shape,4
Img_028,Expert_3,Overall,5
Img_028,Expert_4,Location,4
Img_028,Expert_4,Colour_Texture,3
Img_028,Expert_4,Shape,5
Img_028,Expert_4,Overall,3
Img_028,Expert_5,Location,5
Img_028,Expert_5,Colour_Texture,4
Img_028,Expert_5,Shape,4
Img_028,Expert_5,Overall,3
Img_029,Expert_1,Location,3
Img_029,Expert_1,Colour_Texture,3
Img_029,Expert_1,Shape,4
Img_029,Expert_1,Overall,5
Img_029,Expert_2,Location,5
Img_029,Expert_2,Colour_Texture,5
Img_029,Expert_2,Shape,5
Img_029,Expert_2,Overall,4
Img_029,Expert_3,Location,3
Img_029,Expert_3,Colour_Texture,4
Img_029,Expert_3,Shape,5
Img_029,Expert_3,Overall,4
Img_029,Expert_4,Location,5
Img_029,Expert_4,Colour_Texture,3
Img_029,Expert_4,Shape,3
Img_029,Expert_4,Overall,3
Img_029,Expert_5,Location,5
Img_029,Expert_5,Colour_Texture,4
Img_029,Expert_5,Shape,5
Img_029,Expert_5,Overall,3
Img_030,Expert_1,Location,5
Img_030,Expert_1,Colour_Texture,4
Img_030,Expert_1,Shape,4
Img_030,Expert_1,Overall,4
Img_030,Expert_2,Location,4
Img_030,Expert_2,Colour_Texture,3
Img_030,Expert_2,Shape,5
Img_030,Expert_2,Overall,3
Img_030,Expert_3,Location,4
Img_030,Expert_3,Colour_Texture,4
Img_030,Expert_3,Shape,3
Img_030,Expert_3,Overall,3
Img_030,Expert_4,Location,5
Img_030,Expert_4,Colour_Texture,4
Img_030,Expert_4,Shape,5
Img_030,Expert_4,Overall,5
Img_030,Expert_5,Location,5
Img_030,Expert_5,Colour_Texture,5
Img_030,Expert_5,Shape,3
Img_030,Expert_5,Overall,3
Img_031,Expert_1,Location,5
Img_031,Expert_1,Colour_Texture,4
Img_031,Expert_1,Shape,3
Img_031,Expert_1,Overall,5
Img_031,Expert_2,Location,5
Img_031,Expert_2,Colour_Texture,4
Img_031,Expert_2,Shape,4
Img_031,Expert_2,Overall,5
Img_031,Expert_3,Location,3
Img_031,Expert_3,Colour_Texture,3
Img_031,Expert_3,Shape,3
Img_031,Expert_3,Overall,5
Img_031,Expert_4,Location,4
Img_031,Expert_4,Colour_Texture,3
Img_031,Expert_4,Shape,3
Img_031,Expert_4,Overall,4
Img_031,Expert_5,Location,3
Img_031,Expert_5,Colour_Texture,4
Img_031,Expert_5,Shape,3
Img_031,Expert_5,Overall,4
Img_032,Expert_1,Location,3
Img_032,Expert_1,Colour_Texture,3
Img_032,Expert_1,Shape,5
Img_032,Expert_1,Overall,4
Img_032,Expert_2,Location,4
Img_032,Expert_2,Colour_Texture,4
Img_032,Expert_2,Shape,5
Img_032,Expert_2,Overall,4
Img_032,Expert_3,Location,3
Img_032,Expert_3,Colour_Texture,4
Img_032,Expert_3,Shape,5
Img_032,Expert_3,Overall,5
Img_032,Expert_4,Location,4
Img_032,Expert_4,Colour_Texture,5
Img_032,Expert_4,Shape,5
Img_032,Expert_4,Overall,5
Img_032,Expert_5,Location,4
Img_032,Expert_5,Colour_Texture,4
Img_032,Expert_5,Shape,5
Img_032,Expert_5,Overall,3
Img_033,Expert_1,Location,4
Img_033,Expert_1,Colour_Texture,3
Img_033,Expert_1,Shape,3
Img_033,Expert_1,Overall,4
Img_033,Expert_2,Location,3
Img_033,Expert_2,Colour_Texture,5
Img_033,Expert_2,Shape,3
Img_033,Expert_2,Overall,4
Img_033,Expert_3,Location,5
Img_033,Expert_3,Colour_Texture,3
Img_033,Expert_3,Shape,5
Img_033,Expert_3,Overall,5
Img_033,Expert_4,Location,5
Img_033,Expert_4,Colour_Texture,3
Img_033,Expert_4,Shape,4
Img_033,Expert_4,Overall,4
Img_033,Expert_5,Location,3
Img_033,Expert_5,Colour_Texture,4
Img_033,Expert_5,Shape,3
Img_033,Expert_5,Overall,5
Img_034,Expert_1,Location,4
Img_034,Expert_1,Colour_Texture,5
Img_034,Expert_1,Shape,5
Img_034,Expert_1,Overall,4
Img_034,Expert_2,Location,3
Img_034,Expert_2,Colour_Texture,3
Img_034,Expert_2,Shape,5
Img_034,Expert_2,Overall,5
Img_034,Expert_3,Location,3
Img_034,Expert_3,Colour_Texture,5
Img_034,Expert_3,Shape,3
Img_034,Expert_3,Overall,3
Img_034,Expert_4,Location,5
Img_034,Expert_4,Colour_Texture,4
Img_034,Expert_4,Shape,4
Img_034,Expert_4,Overall,3
Img_034,Expert_5,Location,5
Img_034,Expert_5,Colour_Texture,4
Img_034,Expert_5,Shape,3
Img_034,Expert_5,Overall,4
Img_035,Expert_1,Location,4
Img_035,Expert_1,Colour_Texture,5
Img_035,Expert_1,Shape,3
Img_035,Expert_1,Overall,3
Img_035,Expert_2,Location,3
Img_035,Expert_2,Colour_Texture,3
Img_035,Expert_2,Shape,5
Img_035,Expert_2,Overall,4
Img_035,Expert_3,Location,5
Img_035,Expert_3,Colour_Texture,3
Img_035,Expert_3,Shape,4
Img_035,Expert_3,Overall,5
Img_035,Expert_4,Location,3
Img_035,Expert_4,Colour_Texture,3
Img_035,Expert_4,Shape,4
Img_035,Expert_4,Overall,3
Img_035,Expert_5,Location,3
Img_035,Expert_5,Colour_Texture,4
Img_035,Expert_5,Shape,4
Img_035,Expert_5,Overall,5
Img_036,Expert_1,Location,3
Img_036,Expert_1,Colour_Texture,3
Img_036,Expert_1,Shape,5
Img_036,Expert_1,Overall,3
Img_036,Expert_2,Location,4
Img_036,Expert_2,Colour_Texture,5
Img_036,Expert_2,Shape,3
Img_036,Expert_2,Overall,3
Img_036,Expert_3,Location,5
Img_036,Expert_3,Colour_Texture,3
Img_036,Expert_3,Shape,5
Img_036,Expert_3,Overall,3
Img_036,Expert_4,Location,3
Img_036,Expert_4,Colour_Texture,4
Img_036,Expert_4,Shape,5
Img_036,Expert_4,Overall,4
Img_036,Expert_5,Location,4
Img_036,Expert_5,Colour_Texture,4
Img_036,Expert_5,Shape,3
Img_036,Expert_5,Overall,5
Img_037,Expert_1,Location,4
Img_037,Expert_1,Colour_Texture,3
Img_037,Expert_1,Shape,3
Img_037,Expert_1,Overall,5
Img_037,Expert_2,Location,4
Img_037,Expert_2,Colour_Texture,4
Img_037,Expert_2,Shape,3
Img_037,Expert_2,Overall,3
Img_037,Expert_3,Location,3
Img_037,Expert_3,Colour_Texture,3
Img_037,Expert_3,Shape,4
Img_037,Expert_3,Overall,3
Img_037,Expert_4,Location,3
Img_037,Expert_4,Colour_Texture,5
Img_037,Expert_4,Shape,4
Img_037,Expert_4,Overall,5
Img_037,Expert_5,Location,5
Img_037,Expert_5,Colour_Texture,5
Img_037,Expert_5,Shape,3
Img_037,Expert_5,Overall,3
Img_038,Expert_1,Location,5
Img_038,Expert_1,Colour_Texture,4
Img_038,Expert_1,Shape,5
Img_038,Expert_1,Overall,4
Img_038,Expert_2,Location,3
Img_038,Expert_2,Colour_Texture,5
Img_038,Expert_2,Shape,3
Img_038,Expert_2,Overall,3
Img_038,Expert_3,Location,5
Img_038,Expert_3,Colour_Texture,3
Img_038,Expert_3,Shape,5
Img_038,Expert_3,Overall,4
Img_038,Expert_4,Location,5
Img_038,Expert_4,Colour_Texture,4
Img_038,Expert_4,Shape,3
Img_038,Expert_4,Overall,5
Img_038,Expert_5,Location,4
Img_038,Expert_5,Colour_Texture,3
Img_038,Expert_5,Shape,5
Img_038,Expert_5,Overall,4
Img_039,Expert_1,Location,5
Img_039,Expert_1,Colour_Texture,4
Img_039,Expert_1,Shape,4
Img_039,Expert_1,Overall,4
Img_039,Expert_2,Location,4
Img_039,Expert_2,Colour_Texture,4
Img_039,Expert_2,Shape,4
Img_039,Expert_2,Overall,4
Img_039,Expert_3,Location,3
Img_039,Expert_3,Colour_Texture,3
Img_039,Expert_3,Shape,4
Img_039,Expert_3,Overall,4
Img_039,Expert_4,Location,3
Img_039,Expert_4,Colour_Texture,3
Img_039,Expert_4,Shape,5
Img_039,Expert_4,Overall,5
Img_039,Expert_5,Location,5
Img_039,Expert_5,Colour_Texture,4
Img_039,Expert_5,Shape,4
Img_039,Expert_5,Overall,4
Img_040,Expert_1,Location,5
Img_040,Expert_1,Colour_Texture,5
Img_040,Expert_1,Shape,4
Img_040,Expert_1,Overall,5
Img_040,Expert_2,Location,3
Img_040,Expert_2,Colour_Texture,4
